feature_id,batch,component,propagated_label,family_size,annotated_members,agreement,round,phylum,kingdom
A15_56301,ALL-25-2-POS,4231,Glycerolipids,2,1,1.0,1,Chlorophyta,Viridiplantae
A15_88831,ALL-25-2-POS,5630,Glycerophospholipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_154595,ALL-25-2-POS,61,Glycerophospholipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_63106,ALL-25-2-POS,249,Glycerophospholipids,2,1,1.0,1,Basidiomycota,Fungi
A15_145991,ALL-25-2-POS,5653,Glycerophospholipids,2,1,1.0,1,Pseudomonadota,Bacteria
A15_223024,OE23-POS,9702,Glycerophospholipids|Sphingolipids,2,1,1.0,1,Mollusca,Animalia
A15_146090,ALL-25-2-POS,12023,Glycerolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_107652,OE23-POS,820,Sphingolipids,2,1,1.0,1,Chlorophyta,Viridiplantae
A15_92144,ALL-25-2-POS,169,Glycerophospholipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_75328,ALL-25-2-POS,458,Glycerophospholipids|Sphingolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_99370,ALL-25-2-POS,32,Glycerophospholipids|Sphingolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_73144,OE23-POS,64,Glycerophospholipids|Sphingolipids,3,1,1.0,1,Chlorophyta,Viridiplantae
A15_67931,OE23-POS,64,Glycerophospholipids|Sphingolipids,3,1,1.0,1,Chlorophyta,Viridiplantae
A15_130381,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_112820,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_131825,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_131315,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_117797,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_128030,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_203858,OE23-POS,440,Glycerophospholipids,12,5,1.0,1,Chlorophyta,Viridiplantae
A15_225249,OE23-POS,5354,Glycerolipids,2,1,1.0,1,Chlorophyta,Viridiplantae
A15_218565,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_218868,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220794,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220693,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220037,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220999,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_222583,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_214667,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_217535,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_218357,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_218869,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_217517,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220136,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220688,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_217492,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_223804,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_222585,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_221001,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219351,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_221625,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220625,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_212272,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_214156,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_217272,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219352,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_215703,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219648,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_218587,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_221523,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219649,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_221412,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_217096,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_220362,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219354,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219923,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_221413,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_222681,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_221627,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_219548,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_223351,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_223270,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
A15_225019,OE23-POS,82,Archaeal lipids,56,14,1.0,1,Nematoda,Animalia
